Medicare Billing Code (HCPCS Code),Drug Description,Brand Name,Generic Name,uses
J7308,"Aminolevulinic acid hcl for topical administration, 20%, single unit dosage form (354 mg)",Levulan,Aminolevulinic Acid HCL, 
J7312,"Injection, dexamethasone, intravitreal implant, 0.1 mg",Ozurdex,Dexamethasone, 
J7313,"Injection, fluocinolone acetonide, intravitreal implant, 0.01 mg",Iluvien,Fluocinolone Acetonide, 
J7316,"Injection, ocriplasmin, 0.125 mg",Jetrea,Ocriplasmin/PF, 
J7321,"Hyaluronan or derivative, hyalgan or supartz, for intra-articular injection, per dose",Hyalgan*,Hyaluronate Sodium*,"This medication is used to treat knee pain in patients with joint inflammation (osteoarthritis). It is usually used in patients who have not responded to other treatments such as acetaminophen, exercise, or physical therapy. Hyaluronate (also known as hyaluronan) is similar to a substance that occurs naturally in the joints. It may work by acting as a lubricant and shock absorber in the joint, helping the knee to move smoothly, thereby lessening pain."
J7323,"Hyaluronan or derivative, euflexxa, for intra-articular injection, per dose",Euflexxa,Hyaluronate Sodium,"This medication is used to treat knee pain in patients with joint inflammation (osteoarthritis). It is usually used in patients who have not responded to other treatments such as acetaminophen, exercise, or physical therapy. Hyaluronate (also known as hyaluronan) is similar to a substance that occurs naturally in the joints. It may work by acting as a lubricant and shock absorber in the joint, helping the knee to move smoothly, thereby lessening pain."
J7324,"Hyaluronan or derivative, orthovisc, for intra-articular injection, per dose",Orthovisc,Hyaluronate Sodium,"This medication is used to treat knee pain in patients with joint inflammation (osteoarthritis). It is usually used in patients who have not responded to other treatments such as acetaminophen, exercise, or physical therapy. Hyaluronate (also known as hyaluronan) is similar to a substance that occurs naturally in the joints. It may work by acting as a lubricant and shock absorber in the joint, helping the knee to move smoothly, thereby lessening pain."
J7325,"Hyaluronan or derivative, synvisc or synvisc-one, for intra-articular injection, 1 mg",Synvisc*,Hylan G-F 20*,"This medication is used to treat knee pain in patients with joint inflammation (osteoarthritis). It is usually used in patients who have not responded to other treatments such as acetaminophen, exercise, or physical therapy. Hyaluronate (also known as hyaluronan) is similar to a substance that occurs naturally in the joints. It may work by acting as a lubricant and shock absorber in the joint, helping the knee to move smoothly, thereby lessening pain."
J7326,"Hyaluronan or derivative, gel-one, for intra-articular injection, per dose",Gel-One,"Hyaluronate Sod, Cross-Linked","This medication is used to treat knee pain in patients with joint inflammation (osteoarthritis). It is usually used in patients who have not responded to other treatments such as acetaminophen, exercise, or physical therapy. Hyaluronate (also known as hyaluronan) is similar to a substance that occurs naturally in the joints. It may work by acting as a lubricant and shock absorber in the joint, helping the knee to move smoothly, thereby lessening pain."
J7327,"Hyaluronan or derivative, monovisc, for intra-articular injection, per dose",Monovisc,"Hyaluronate Sodium, Stabilized", 
J7336,"Capsaicin 8% patch, per square centimeter",Qutenza,Capsaicin/Skin Cleanser, 
J7500,"Azathioprine, oral, 50 mg",Azasan*,Azathioprine*,"Azathioprine is used to prevent organ rejection in people who have received a kidney transplant. It is usually taken along with other medications to allow your new kidney to function normally. Azathioprine is also used to treat rheumatoid arthritis. In this condition, the body's defense system (immune system) attacks healthy joints. Azathioprine belongs to a class of drugs known as immunosuppressants. It works by weakening the immune system to help your body accept the new kidney as if it were your own (in the case of an organ transplant) or to prevent further damage to your joints (in the case of rheumatoid arthritis). Talk to your doctor about the risks and benefits of azathioprine, especially when used in children and young adults."
J7502,"Cyclosporine, oral, 100 mg",Cyclosporine (J7502)*,Cyclosporine*,"Cyclosporine is used to prevent organ rejection in people who have received a liver, kidney, or heart transplant. It is usually taken along with other medications to allow your new organ to function normally. Cyclosporine is also used to treat severe cases of rheumatoid arthritis and plaque psoriasis. In these conditions, the body's defense system (immune system) attacks healthy tissues. Cyclosporine belongs to a class of drugs known as immunosuppressants. It works by weakening the immune system to help your body accept the new organ as if it were your own (in the case of an organ transplant) and to prevent further damage to your joints (in the case of rheumatoid arthritis) or skin (in the case of psoriasis)."
J7503,"Tacrolimus, extended release, (envarsus xr), oral, 0.25 mg",Envarsus Xr,Tacrolimus,Tacrolimus is used with other medications to prevent rejection of a kidney transplant. This medication belongs to a class of drugs known as immunosuppressants. It works by weakening your body's defense system (immune system) to help your body accept the new organ as if it were your own.
J7507,"Tacrolimus, immediate release, oral, 1 mg",Hecoria*,Tacrolimus*,"Tacrolimus is used with other medications to prevent rejection of a kidney, heart, or liver transplant. This medication belongs to a class of drugs known as immunosuppressants. It works by weakening your body's defense system (immune system) to help your body accept the new organ as if it were your own."
J7508,"Tacrolimus, extended release, (astagraf xl), oral, 0.1 mg",Astagraf Xl,Tacrolimus,Tacrolimus is used with other medications to prevent rejection of a kidney transplant. This medication belongs to a class of drugs known as immunosuppressants. It works by weakening your body's defense system (immune system) to help your body accept the new organ as if it were your own.
J7509,"Methylprednisolone oral, per 4 mg",Medrol*,MethylprednIsolone*,"Methylprednisolone is used to treat conditions such as arthritis, blood disorders, severe allergic reactions, certain cancers, eye conditions, skin/kidney/intestinal/lung diseases, and immune system disorders. It decreases your immune system's response to various diseases to reduce symptoms such as swelling, pain, and allergic-type reactions. This medication is a corticosteroid hormone. Methylprednisolone may also be used with other medications in hormone disorders."
J7510,"Prednisolone oral, per 5 mg",Flo-Pred*,PrednIsolone Acetate*,"Prednisolone is a man-made form of a natural substance (corticosteroid hormone) made by the adrenal gland. It is used to treat conditions such as arthritis, blood problems, immune system disorders, skin and eye conditions, breathing problems, cancer, and severe allergies. It decreases your immune system's response to various diseases to reduce symptoms such as pain, swelling and allergic-type reactions."
J7511,"Lymphocyte immune globulin, antithymocyte globulin, rabbit, parenteral, 25 mg",Thymoglobulin,"Lymphocyte Immune Glob,rabbit",This medication is used to prevent and treat rejection of a kidney transplant. This medication belongs to a class of drugs known as immunosuppressants. It works by decreasing your body's natural defense (immune system). This helps prevent your body from rejecting the kidney transplant so it can work normally.
